	temps		x		y	z
3134	3,134	2	0,02	3	0,03	0,99
3154	3,154	1	0,01	5	0,05	0,99
3174	3,174	0	0	5	0,05	0,99
3195	3,195	-1	-0,01	5	0,05	1
3215	3,215	0	0	4	0,04	1
3235	3,235	0	0	4	0,04	1
3255	3,255	0	0	4	0,04	1
3276	3,276	0	0	4	0,04	1
3296	3,296	0	0	4	0,04	1
3316	3,316	0	0	4	0,04	1
3336	3,336	0	0	4	0,04	1
3356	3,356	0	0	4	0,04	0,99
3377	3,377	0	0	4	0,04	0,99
3397	3,397	0	0	4	0,04	1
3416	3,416	0	0	4	0,04	1
3436	3,436	0	0	4	0,04	0,99
3457	3,457	0	0	4	0,04	0,99
3476	3,476	0	0	3	0,03	0,99
3496	3,496	0	0	3	0,03	1
3516	3,516	0	0	4	0,04	0,99
3537	3,537	0	0	3	0,03	1
3556	3,556	0	0	3	0,03	1
3576	3,576	0	0	4	0,04	0,99
3596	3,596	0	0	3	0,03	0,99
3617	3,617	1	0,01	3	0,03	1
3637	3,637	0	0	3	0,03	1
3657	3,657	0	0	4	0,04	0,99
3677	3,677	0	0	4	0,04	1
3698	3,698	0	0	4	0,04	1
3718	3,718	0	0	3	0,03	1
3737	3,737	1	0,01	3	0,03	1
3757	3,757	1	0,01	4	0,04	0,99
3778	3,778	0	0	4	0,04	0,99
3798	3,798	0	0	4	0,04	1
3818	3,818	0	0	3	0,03	1
3838	3,838	1	0,01	3	0,03	1
3858	3,858	1	0,01	3	0,03	0,99
3879	3,879	1	0,01	4	0,04	0,99
3899	3,899	1	0,01	4	0,04	0,99
3919	3,919	1	0,01	4	0,04	1
3939	3,939	1	0,01	3	0,03	1
3959	3,959	1	0,01	4	0,04	0,99
3980	3,98	1	0,01	4	0,04	0,99
4000	4	1	0,01	3	0,03	1
4019	4,019	1	0,01	3	0,03	1
4039	4,039	1	0,01	3	0,03	1
4059	4,059	1	0,01	3	0,03	1
4080	4,08	1	0,01	3	0,03	1
4100	4,1	1	0,01	3	0,03	1
4120	4,12	2	0,02	3	0,03	1
4140	4,14	1	0,01	3	0,03	1
4161	4,161	1	0,01	3	0,03	1
4181	4,181	1	0,01	3	0,03	1
4201	4,201	1	0,01	3	0,03	1
4221	4,221	1	0,01	3	0,03	1
4242	4,242	1	0,01	3	0,03	1
4262	4,262	1	0,01	3	0,03	1
4282	4,282	1	0,01	3	0,03	1
4302	4,302	1	0,01	3	0,03	1
4322	4,322	1	0,01	3	0,03	1
4342	4,342	1	0,01	3	0,03	1
4362	4,362	1	0,01	2	0,02	0,99
4382	4,382	1	0,01	3	0,03	1,01
4402	4,402	1	0,01	3	0,03	1
4422	4,422	1	0,01	3	0,03	1,01
4443	4,443	1	0,01	3	0,03	0,99
4463	4,463	1	0,01	3	0,03	1
4482	4,482	1	0,01	3	0,03	1
4502	4,502	1	0,01	3	0,03	1
4523	4,523	1	0,01	4	0,04	1
4543	4,543	1	0,01	3	0,03	1
4563	4,563	1	0,01	2	0,02	1
4583	4,583	2	0,02	2	0,02	0,99
4604	4,604	2	0,02	3	0,03	1
4624	4,624	1	0,01	4	0,04	1
4644	4,644	1	0,01	3	0,03	1
4665	4,665	1	0,01	3	0,03	1
4685	4,685	1	0,01	2	0,02	1
4705	4,705	2	0,02	2	0,02	0,99
4726	4,726	1	0,01	2	0,02	1
4746	4,746	1	0,01	3	0,03	1
4765	4,765	0	0	3	0,03	1
4785	4,785	1	0,01	3	0,03	0,99
4806	4,806	1	0,01	3	0,03	0,99
4826	4,826	1	0,01	2	0,02	1
4845	4,845	1	0,01	3	0,03	1
4865	4,865	1	0,01	3	0,03	1
4886	4,886	1	0,01	3	0,03	1
4906	4,906	1	0,01	3	0,03	1
4926	4,926	1	0,01	3	0,03	1
4946	4,946	1	0,01	3	0,03	1
4967	4,967	1	0,01	3	0,03	1
4986	4,986	1	0,01	3	0,03	1
5006	5,006	1	0,01	3	0,03	0,99
5026	5,026	0	0	3	0,03	0,99
5047	5,047	0	0	4	0,04	0,99
5066	5,066	1	0,01	4	0,04	0,99
5086	5,086	1	0,01	3	0,03	1,01
5107	5,107	1	0,01	3	0,03	1,01
5127	5,127	1	0,01	3	0,03	0,99
5147	5,147	1	0,01	3	0,03	0,99
5167	5,167	1	0,01	3	0,03	1
5188	5,188	0	0	3	0,03	1
5208	5,208	0	0	3	0,03	1
5228	5,228	1	0,01	3	0,03	0,99
5248	5,248	0	0	4	0,04	1
5268	5,268	0	0	4	0,04	1
5289	5,289	1	0,01	2	0,02	0,99
5309	5,309	2	0,02	2	0,02	0,98
5329	5,329	2	0,02	3	0,03	0,99
5349	5,349	1	0,01	4	0,04	1
5370	5,37	-1	-0,01	5	0,05	1,01
5390	5,39	0	0	5	0,05	1
5410	5,41	1	0,01	4	0,04	0,99
5430	5,43	2	0,02	3	0,03	0,99
5450	5,45	1	0,01	4	0,04	1
5471	5,471	1	0,01	5	0,05	1,01
5491	5,491	2	0,02	5	0,05	1,01
5511	5,511	1	0,01	6	0,06	1
5531	5,531	0	0	7	0,07	0,99
5551	5,551	1	0,01	7	0,07	0,98
5572	5,572	3	0,03	7	0,07	0,98
5592	5,592	3	0,03	7	0,07	1
5611	5,611	3	0,03	8	0,08	1,01
5631	5,631	2	0,02	9	0,09	1,01
5651	5,651	2	0,02	11	0,11	1
5672	5,672	2	0,02	11	0,11	1
5692	5,692	3	0,03	11	0,11	1
5711	5,711	2	0,02	11	0,11	1
5731	5,731	1	0,01	14	0,14	1
5751	5,751	0	0	15	0,15	0,99
5772	5,772	1	0,01	15	0,15	0,99
5792	5,792	2	0,02	14	0,14	1
5811	5,811	3	0,03	15	0,15	0,99
5831	5,831	4	0,04	15	0,15	0,98
5851	5,851	4	0,04	16	0,16	0,99
5872	5,872	2	0,02	17	0,17	1,01
5892	5,892	1	0,01	17	0,17	1,01
5912	5,912	1	0,01	18	0,18	1
5932	5,932	2	0,02	19	0,19	0,99
5952	5,952	4	0,04	18	0,18	1,01
5973	5,973	4	0,04	15	0,15	1,01
5993	5,993	5	0,05	14	0,14	1
6012	6,012	1	0,01	19	0,19	1
6032	6,032	1	0,01	18	0,18	1
6053	6,053	1	0,01	16	0,16	1
6073	6,073	2	0,02	15	0,15	1
6093	6,093	1	0,01	16	0,16	0,98
6113	6,113	1	0,01	15	0,15	0,98
6133	6,133	1	0,01	15	0,15	0,99
6154	6,154	2	0,02	14	0,14	0,99
6174	6,174	3	0,03	14	0,14	0,99
6194	6,194	3	0,03	12	0,12	1
6214	6,214	3	0,03	12	0,12	1
6235	6,235	1	0,01	12	0,12	0,98
6255	6,255	0	0	13	0,13	0,97
6275	6,275	1	0,01	12	0,12	0,97
6295	6,295	2	0,02	10	0,1	0,99
6316	6,316	2	0,02	12	0,12	0,99
6336	6,336	0	0	13	0,13	1
6355	6,355	0	0	13	0,13	1,02
6375	6,375	1	0,01	11	0,11	1,02
6395	6,395	2	0,02	11	0,11	1
6416	6,416	2	0,02	11	0,11	1
6436	6,436	1	0,01	12	0,12	1
6455	6,455	1	0,01	12	0,12	1,01
6632	6,632	2	0,02	13	0,13	1
6682	6,682	2	0,02	14	0,14	1
6733	6,733	3	0,03	13	0,13	0,99
6783	6,783	1	0,01	14	0,14	1
6833	6,833	3	0,03	13	0,13	0,99
6883	6,883	2	0,02	14	0,14	1
6934	6,934	2	0,02	14	0,14	1
6984	6,984	3	0,03	13	0,13	1
7033	7,033	2	0,02	13	0,13	1,01
7083	7,083	3	0,03	13	0,13	0,99
7134	7,134	2	0,02	14	0,14	1
7184	7,184	3	0,03	12	0,12	1,01
7233	7,233	1	0,01	13	0,13	1
7284	7,284	2	0,02	13	0,13	1,01
7334	7,334	2	0,02	12	0,12	1
7383	7,383	2	0,02	12	0,12	1,01
7433	7,433	2	0,02	13	0,13	1
7483	7,483	3	0,03	13	0,13	1
7534	7,534	3	0,03	12	0,12	1,01
7583	7,583	3	0,03	12	0,12	1
7633	7,633	3	0,03	13	0,13	1
7684	7,684	2	0,02	14	0,14	1
7733	7,733	3	0,03	13	0,13	0,98
7783	7,783	3	0,03	13	0,13	1,01
7834	7,834	3	0,03	12	0,12	1
7884	7,884	2	0,02	13	0,13	0,99
7934	7,934	3	0,03	13	0,13	1,02
7984	7,984	2	0,02	14	0,14	1
8034	8,034	3	0,03	12	0,12	1,01
8085	8,085	2	0,02	14	0,14	1
8135	8,135	3	0,03	12	0,12	0,99
8184	8,184	2	0,02	12	0,12	1
8234	8,234	2	0,02	13	0,13	1
8285	8,285	2	0,02	13	0,13	0,99
8335	8,335	2	0,02	13	0,13	0,99
8385	8,385	2	0,02	13	0,13	0,99
8435	8,435	1	0,01	14	0,14	1,01
8485	8,485	2	0,02	13	0,13	1
8536	8,536	2	0,02	13	0,13	1
8586	8,586	2	0,02	13	0,13	1
8636	8,636	2	0,02	13	0,13	1
8686	8,686	3	0,03	12	0,12	1,02
8737	8,737	3	0,03	13	0,13	0,99
8786	8,786	3	0,03	13	0,13	1
8836	8,836	3	0,03	12	0,12	1
8886	8,886	3	0,03	13	0,13	1
8938	8,938	3	0,03	13	0,13	0,99
8987	8,987	2	0,02	13	0,13	0,98
9038	9,038	3	0,03	13	0,13	0,99
9088	9,088	2	0,02	13	0,13	1
9137	9,137	3	0,03	12	0,12	0,99
9187	9,187	3	0,03	13	0,13	1,03
9238	9,238	2	0,02	13	0,13	0,99
9288	9,288	3	0,03	12	0,12	1,01
9337	9,337	2	0,02	13	0,13	1
9387	9,387	3	0,03	12	0,12	0,99
9437	9,437	3	0,03	13	0,13	1
9488	9,488	3	0,03	12	0,12	1
9538	9,538	3	0,03	13	0,13	1
9587	9,587	3	0,03	12	0,12	1,01
9637	9,637	3	0,03	13	0,13	0,99
9688	9,688	3	0,03	13	0,13	0,99
9738	9,738	4	0,04	12	0,12	1
9788	9,788	3	0,03	13	0,13	1
9838	9,838	2	0,02	13	0,13	0,99
9888	9,888	2	0,02	13	0,13	0,99
9939	9,939	3	0,03	12	0,12	0,99
9989	9,989	3	0,03	14	0,14	1,01
10038	10,038	2	0,02	13	0,13	0,98
10088	10,088	3	0,03	12	0,12	1
10138	10,138	2	0,02	13	0,13	1
10189	10,189	3	0,03	12	0,12	0,99
10239	10,239	1	0,01	14	0,14	1
10289	10,289	3	0,03	12	0,12	0,98
10339	10,339	3	0,03	12	0,12	1,01
10390	10,39	3	0,03	13	0,13	0,97
10440	10,44	3	0,03	13	0,13	1,01
10489	10,489	2	0,02	13	0,13	0,99
10539	10,539	3	0,03	12	0,12	0,99
10590	10,59	3	0,03	12	0,12	1,02
10639	10,639	3	0,03	13	0,13	0,98
10689	10,689	3	0,03	11	0,11	1
10739	10,739	2	0,02	13	0,13	0,99
10790	10,79	2	0,02	13	0,13	0,99
10839	10,839	3	0,03	12	0,12	1
10890	10,89	3	0,03	12	0,12	1
10940	10,94	2	0,02	14	0,14	0,99
10990	10,99	2	0,02	13	0,13	1,02
11040	11,04	2	0,02	13	0,13	1
11091	11,091	3	0,03	12	0,12	1,01
11141	11,141	3	0,03	13	0,13	1
11191	11,191	2	0,02	13	0,13	1,01
11241	11,241	2	0,02	13	0,13	1
11292	11,292	4	0,04	12	0,12	1
11342	11,342	3	0,03	14	0,14	0,99
11391	11,391	1	0,01	13	0,13	0,99
11441	11,441	3	0,03	12	0,12	0,99
11491	11,491	2	0,02	12	0,12	0,98
11542	11,542	2	0,02	13	0,13	1
11592	11,592	4	0,04	11	0,11	0,99
11641	11,641	1	0,01	14	0,14	1
11691	11,691	3	0,03	12	0,12	0,99
11741	11,741	3	0,03	13	0,13	1
11792	11,792	3	0,03	13	0,13	1,01
11842	11,842	3	0,03	12	0,12	1,02
11891	11,891	3	0,03	12	0,12	1,02
11941	11,941	3	0,03	13	0,13	0,99
11991	11,991	2	0,02	13	0,13	1
12042	12,042	3	0,03	12	0,12	0,99
12092	12,092	3	0,03	13	0,13	0,99
12141	12,141	4	0,04	12	0,12	0,99
12191	12,191	3	0,03	12	0,12	0,99
12241	12,241	4	0,04	11	0,11	0,98
12292	12,292	2	0,02	13	0,13	1,01
12342	12,342	4	0,04	11	0,11	0,97
12392	12,392	4	0,04	12	0,12	1,01
12442	12,442	3	0,03	13	0,13	0,98
12493	12,493	4	0,04	10	0,1	0,98
12543	12,543	3	0,03	12	0,12	1
12593	12,593	3	0,03	12	0,12	0,98
12643	12,643	3	0,03	11	0,11	0,99
12693	12,693	2	0,02	12	0,12	0,99
12744	12,744	2	0,02	13	0,13	1,01
12794	12,794	2	0,02	11	0,11	0,99
12844	12,844	1	0,01	12	0,12	1,01
12894	12,894	2	0,02	12	0,12	1
12944	12,944	2	0,02	11	0,11	1,02
12994	12,994	4	0,04	10	0,1	1
13045	13,045	1	0,01	13	0,13	1,02
13095	13,095	2	0,02	10	0,1	1
13146	13,146	3	0,03	9	0,09	0,98
13196	13,196	2	0,02	12	0,12	0,99
13246	13,246	3	0,03	10	0,1	0,96
13296	13,296	3	0,03	10	0,1	1
13347	13,347	4	0,04	10	0,1	0,98
13397	13,397	4	0,04	10	0,1	0,99
13446	13,446	4	0,04	10	0,1	0,98
13496	13,496	4	0,04	10	0,1	1
13547	13,547	3	0,03	10	0,1	0,99
13596	13,596	2	0,02	12	0,12	1
13646	13,646	4	0,04	10	0,1	0,99
13697	13,697	2	0,02	11	0,11	1
13747	13,747	4	0,04	10	0,1	0,98
13796	13,796	4	0,04	9	0,09	1,02
13846	13,846	3	0,03	10	0,1	0,99
13897	13,897	3	0,03	10	0,1	0,99
13946	13,946	3	0,03	10	0,1	1
13996	13,996	3	0,03	10	0,1	1,01
14046	14,046	3	0,03	9	0,09	1
14097	14,097	4	0,04	8	0,08	1,01
14147	14,147	2	0,02	10	0,1	1
14197	14,197	3	0,03	9	0,09	1,01
14247	14,247	2	0,02	10	0,1	1,01
14298	14,298	3	0,03	9	0,09	1,01
14348	14,348	2	0,02	9	0,09	0,99
14397	14,397	4	0,04	9	0,09	0,99
14447	14,447	3	0,03	10	0,1	0,98
14497	14,497	4	0,04	8	0,08	0,99
14548	14,548	4	0,04	9	0,09	1
14598	14,598	4	0,04	9	0,09	1
14647	14,647	3	0,03	8	0,08	1,01
14697	14,697	3	0,03	9	0,09	1
14748	14,748	3	0,03	8	0,08	1,02
14798	14,798	2	0,02	10	0,1	1
14848	14,848	3	0,03	8	0,08	1,01
14898	14,898	3	0,03	8	0,08	1,01
14948	14,948	4	0,04	9	0,09	0,99
14998	14,998	4	0,04	8	0,08	0,96
15049	15,049	3	0,03	8	0,08	0,99
15098	15,098	4	0,04	8	0,08	0,98
15148	15,148	4	0,04	9	0,09	0,99
15198	15,198	4	0,04	8	0,08	1,01
15249	15,249	4	0,04	10	0,1	1
15299	15,299	5	0,05	7	0,07	1,02
15348	15,348	2	0,02	10	0,1	1,01
15398	15,398	3	0,03	8	0,08	1
15448	15,448	3	0,03	9	0,09	1,02
15499	15,499	4	0,04	7	0,07	0,98
15549	15,549	3	0,03	8	0,08	0,99
15598	15,598	3	0,03	9	0,09	1,01
15648	15,648	4	0,04	7	0,07	0,98
15698	15,698	3	0,03	9	0,09	1
15749	15,749	4	0,04	8	0,08	0,99
15798	15,798	4	0,04	7	0,07	0,99
15849	15,849	4	0,04	8	0,08	1
15948	15,948	4	0,04	8	0,08	1
15999	15,999	3	0,03	9	0,09	1
16049	16,049	4	0,04	8	0,08	1,01
16099	16,099	4	0,04	8	0,08	1,01
16149	16,149	3	0,03	9	0,09	1,01
16199	16,199	5	0,05	7	0,07	1
16250	16,25	4	0,04	7	0,07	1
16300	16,3	5	0,05	6	0,06	1
16350	16,35	4	0,04	7	0,07	0,98
16400	16,4	4	0,04	6	0,06	1,01
16451	16,451	5	0,05	4	0,04	0,98
16501	16,501	3	0,03	5	0,05	0,99
16551	16,551	4	0,04	3	0,03	1
16601	16,601	3	0,03	4	0,04	0,99
16651	16,651	3	0,03	4	0,04	1,01
16701	16,701	4	0,04	4	0,04	1,01
16752	16,752	4	0,04	2	0,02	1
16802	16,802	3	0,03	3	0,03	1
16852	16,852	4	0,04	2	0,02	1
16902	16,902	4	0,04	2	0,02	1
16953	16,953	4	0,04	2	0,02	0,99
17003	17,003	5	0,05	1	0,01	1,01
17052	17,052	4	0,04	1	0,01	1
17102	17,102	2	0,02	2	0,02	1,01
17153	17,153	2	0,02	2	0,02	0,99
17203	17,203	2	0,02	1	0,01	0,99
17252	17,252	2	0,02	0	0	0,97
17302	17,302	0	0	1	0,01	0,97
17353	17,353	2	0,02	-3	-0,03	0,97
17403	17,403	1	0,01	0	0	0,95
17452	17,452	4	0,04	-2	-0,02	1,02
17502	17,502	4	0,04	-3	-0,03	1,02
17553	17,553	1	0,01	0	0	1,01
17603	17,603	6	0,06	-5	-0,05	1,05
17653	17,653	3	0,03	-4	-0,04	1,03
17703	17,703	0	0	-5	-0,05	1,01
17753	17,753	3	0,03	-10	-0,1	1,04
17804	17,804	3	0,03	-8	-0,08	0,97
17854	17,854	-1	-0,01	-6	-0,06	0,98
17904	17,904	1	0,01	-9	-0,09	0,96
17954	17,954	4	0,04	-10	-0,1	0,98
18004	18,004	4	0,04	-11	-0,11	0,95
18055	18,055	3	0,03	-11	-0,11	0,99
18105	18,105	3	0,03	-12	-0,12	0,99
18155	18,155	2	0,02	-13	-0,13	1,01
18205	18,205	0	0	-14	-0,14	1,02
18255	18,255	1	0,01	-15	-0,15	1,02
18306	18,306	1	0,01	-15	-0,15	1,01
18356	18,356	1	0,01	-15	-0,15	1,01
18405	18,405	2	0,02	-16	-0,16	1,01
18455	18,455	3	0,03	-17	-0,17	0,98
18506	18,506	1	0,01	-13	-0,13	0,98
18556	18,556	2	0,02	-11	-0,11	0,99
18606	18,606	2	0,02	-9	-0,09	0,99
18656	18,656	4	0,04	-6	-0,06	1,01
18707	18,707	3	0,03	-1	-0,01	0,99
18756	18,756	3	0,03	0	0	1
18806	18,806	2	0,02	2	0,02	1,02
18857	18,857	2	0,02	2	0,02	1,03
18907	18,907	2	0,02	2	0,02	1,03
18957	18,957	2	0,02	3	0,03	0,98
19006	19,006	2	0,02	3	0,03	0,97
19057	19,057	5	0,05	0	0	1,01
19106	19,106	5	0,05	0	0	1
19156	19,156	3	0,03	3	0,03	1,01
19207	19,207	5	0,05	1	0,01	1
19256	19,256	5	0,05	2	0,02	1,02
19306	19,306	4	0,04	5	0,05	1
19356	19,356	3	0,03	5	0,05	1,02
19407	19,407	3	0,03	4	0,04	0,99
19457	19,457	3	0,03	4	0,04	0,98
19507	19,507	3	0,03	5	0,05	1
19558	19,558	3	0,03	6	0,06	0,99
19608	19,608	4	0,04	6	0,06	0,99
19658	19,658	2	0,02	7	0,07	1
19708	19,708	3	0,03	8	0,08	1,01
19758	19,758	2	0,02	7	0,07	1
19809	19,809	1	0,01	7	0,07	1
19859	19,859	1	0,01	8	0,08	1
19958	19,958	2	0,02	7	0,07	0,98
20009	20,009	4	0,04	6	0,06	0,99
20059	20,059	4	0,04	10	0,1	1,02
